combination_id,product_name,Size,Material,Printed Side,Quantity,Printing Time,price,total_price,unit_price,qty_pieces,turnaround_days,Size_id,Material_id,Printed Side_id,Quantity_id,Printing Time_id,timestamp,notes
75,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,500,6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1777,1909,2025-09-01T17:46:16.083021,Extracted using real API endpoints
76,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,500,4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1777,1792,2025-09-01T17:46:16.854748,Extracted using real API endpoints
77,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"1,000",6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1778,1909,2025-09-01T17:46:17.179799,Extracted using real API endpoints
78,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"1,000",4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1778,1792,2025-09-01T17:46:17.511855,Extracted using real API endpoints
79,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"1,500",6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1779,1909,2025-09-01T17:46:17.848569,Extracted using real API endpoints
80,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"1,500",4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1779,1792,2025-09-01T17:46:18.185255,Extracted using real API endpoints
81,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"2,000",6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1780,1909,2025-09-01T17:46:18.507474,Extracted using real API endpoints
82,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"2,000",4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1780,1792,2025-09-01T17:46:18.840836,Extracted using real API endpoints
83,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"2,500",6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1781,1909,2025-09-01T17:46:19.466884,Extracted using real API endpoints
84,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"2,500",4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1781,1792,2025-09-01T17:46:20.131949,Extracted using real API endpoints
85,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"3,000",6 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1782,1909,2025-09-01T17:46:20.459707,Extracted using real API endpoints
86,Business Card Magnets,"2"" x 3.5” (U.S. Standard)",17 pt. Magnet High Gloss (UV),Front Only,"3,000",4 Business Days,$20.00,$20.00,0.00000,0,0,1910,2488,1769,1782,1792,2025-09-01T17:46:21.016130,Extracted using real API endpoints
